start_time,end_time,speaker,text
0.031,8.927,N/A,Go to the ruler to the right
9.245,33.042,N/A,"Yeah, that wasn't there a second ago Age not the difference put species puts your species in your cat talk And see if that does anything different."
33.463,34.084,N/A,I like the map.
34.304,34.324,N/A,I
34.878,38.713,N/A,I just didn't know if that would change.
38.753,45.158,N/A,"Maybe you need to go back to meme now, go to your ruler, and see if the meme changed."
45.847,48.551,N/A,It does slightly.
49.573,51.195,N/A,See how that one's a little off.
51.215,52.056,N/A,What number is that one?
52.998,53.799,N/A,5.99.
53.819,55.401,N/A,What's the number of that one?
55.421,55.542,N/A,6.1.
55.562,58.106,N/A,"So it does give you, I guess, the name."
59.187,60.689,N/A,"It still looks like it's collective, though."
61.33,62.452,N/A,Doesn't it?
62.472,62.652,N/A,Yeah.
63.033,67.68,N/A,And I can't see when cats live so much longer.
68.241,69.002,N/A,Good question.
69.168,74.581,N/A,"It seems like the cat's mane would be... But it depends how many you've got here, you know?"
74.621,76.005,N/A,Because that's not a whole lot.
76.987,77.448,N/A,That's more.
78.19,85.067,N/A,But it is showing the mane's effort.
88.22,97.128,N/A,"No, because they're lumped together in one column."
97.168,101.572,N/A,We would have to go in and separate dog from cat to have two species columns.
104.555,110.62,N/A,But yours isn't by age.
111.12,116.185,N/A,"No, mine's by weight."
116.165,136.502,N/A,"Okay, so the mean weight is 27.15 kilograms."
140.971,142.032,N/A,But they're doing less.
142.052,147.138,N/A,"It's all definitely, and that's not good news."
149.101,151.964,N/A,We have a whole new lot of data or graphs.
152.245,155.849,N/A,Here it comes.
156.41,164.64,N/A,How teachers in different subject areas can basically implement things in different ways.
164.7,168.244,N/A,What is 27.15 kilograms in pounds?
169.878,177.247,N/A,Can you raise your hand if you learned and were able to figure out how to do a scatter plot with two variables?
180.071,184.156,N/A,Raise your hand if you were able to find the mean or median of a single variable.
186.199,192.527,N/A,What about if you were able to select a certain amount of data and zoom in on it?
193.52,195.163,N/A,"Ooh, we got one over here, okay, cool."
195.363,198.388,N/A,What about create a least squares regression model?
199.209,200.411,N/A,"Raise your hand, awesome."
201.052,206.941,N/A,"All right, I'm gonna show you a couple quick things, and then we'll just close up to our next session, because we're running a little bit behind."
207.042,215.134,N/A,"But if you have a scatterplot like this, what you can do is you can, say I'm only interested in a certain amount of data."
215.154,219.882,N/A,"So I looked at my least squares, and I have,"
219.862,227.889,N/A,"my species in here and I have two least squares model and I want to zoom in on what, on parts of my data."
228.149,240.56,N/A,I can highlight and then click on this little eyeball and then display only selected cases and it'll zoom in on only those data points.
241.201,244.463,N/A,It's one thing you can do.
244.483,245.464,N/A,Where's the mean and median?
246.745,247.286,N/A,All right.
247.306,249.868,N/A,"If you are interested in the mean or median,"
250.372,253.576,N/A,Let me get back out of all this.
254.557,255.358,N/A,Show all cases.
256.039,256.42,N/A,Here we go.
256.44,258.222,N/A,I'm going to get rid of my weights.
260.165,260.866,N/A,I'm going to get rid of this.
264.751,268.956,N/A,And I'm just going to look at h. I'm going to look at the x-axis.
270.218,273.662,N/A,I'm going to look at the x-axis.
274.165,279.113,N/A,You can go ahead and click mean or median by hitting the lower button.
279.133,282.798,N/A,And you can hover over it and it'll give you a mean.
283.439,284.541,N/A,You can click on the median.
284.781,286.303,N/A,We kind of see how it's skewing.
287.826,289.108,N/A,You can do a bunch of other things like this.
289.148,296.96,N/A,We can put it in different formats by clicking on this little bar charts instead.
296.98,297.781,N/A,It's a little wonky.
297.801,298.742,N/A,I don't know what happened there.
298.782,300.986,N/A,I just had the wrong thing selected.
301.006,303.109,N/A,"Like, I know I knew how to do this."
303.663,312.07,N/A,Any other questions or anything I can answer about Codat before we finish up?
313.754,321.807,N/A,"Does, if you have this in Sheets, the data in Sheets, right, does it auto populate or would you have to import the data again?"
321.827,326.314,N/A,"Yes, every time you enter your code app it's a new session so it won't automatically update."
326.554,335.969,N/A,"The good thing about this is that you have this, to approach no login, it's completely free and open source so you don't have to like set up accounts with students or anything like that."
335.989,339.815,N/A,"So you can share a link and they can access this code app that you're in, the session?"
340.035,340.656,N/A,Yeah.
341.53,343.432,N/A,"But it's not cloud-based, correct?"
343.632,344.994,N/A,They edit it.
345.014,346.976,N/A,It doesn't show up on your impulse.
347.136,354.865,N/A,"There is a way, I think, for you to create your own spreadsheet with your own data set that's already pre-populated and share it."
355.325,358.208,N/A,"I don't know how to do that, but I think it's pretty easy to figure out."
358.229,360.411,N/A,Go to the hamburger.
362.673,364.095,N/A,And then you click Share.
364.379,365.38,N/A,You can just share this.
365.4,384.729,N/A,You can just share this link and then you're like I've used this with I've taken the iNaturalist spreadsheet that you can export and put this in code app and clean it up for my kids because they're 11 and then I send them the link to the clean queue and I let them graph like native invasive graphs of plants.
385.169,387.653,N/A,But if they're manipulating it then you won't see it.
387.633,396.438,N/A,Does this work just as well on Google Chrome books?
396.458,403.077,N/A,Because all of our kids have Chrome books.
409.891,413.457,N/A,"All right, everyone, just a quick announcement."
413.858,417.484,N/A,"Because of the weather, we're going to push back things about two minutes."
417.824,421.551,N/A,"And so hang out here for a little bit, work on code app, ask questions."
421.651,428.222,N/A,But we'll get more info as soon as we figure out exactly how we're going to accommodate the weather.
428.643,430.446,N/A,"Oh, no, we're going out."
430.846,432.609,N/A,According to Grayson.
432.97,433.671,N/A,"Oh, excellent."
434.174,436.817,N/A,He's got a whole bucket of ponchos.
436.837,439.66,N/A,"Yeah, they got rain jackets here."
439.68,439.84,N/A,Nice.
439.86,440.641,N/A,I want to get my rain coat.
440.741,447.568,N/A,"Any of the clothes were in jacket or something, they have a room downstairs that has student letters down there."
447.588,449.531,N/A,And we can borrow any of these.
449.551,454.196,N/A,They'll wash it afterwards and introduce it.
454.616,455.177,N/A,Thanks.
455.497,459.321,N/A,Could we do collaboration in your co-design?
461.545,463.909,N/A,we've been ordered.
463.929,465.912,N/A,Grayson really wanted us to jump the puddles.
466.633,468.376,N/A,Thank you.
468.396,469.918,N/A,We're still going to jump the puddles.
469.999,470.84,N/A,They're going to be there.
471.181,478.893,N/A,"No, no, we're not staying in the pressure."
478.913,480.596,N/A,"Oh, this is where we're going."
480.616,482.659,N/A,Where can you go if anyone wants to explore it?
485.44,488.547,N/A,I mean you're gonna get wet either way.
488.567,496.945,N/A,I need my face to be able to see.
497.306,503.179,N/A,We've been having some flash buzz warnings.
504.239,505.321,N/A,drink.
505.622,509.31,N/A,We're all going to be on the news.
509.33,519.531,N/A,16 teachers trapped due to flash floods.
526.396,534.883,N/A,So you can't save this like you can a Google Sheets and come back to it?
534.903,537.706,N/A,It's just on your Google Drive.
537.806,542.99,N/A,"Yeah, okay, cuz I thought you said what's they I Misunderstood what you had said about it."
543.01,555.441,N/A,You can't you can't they won't auto populate a Pre-existing data set and so if you're adding like rows to a Google spreadsheet it won't automatically populate
555.59,557.312,N/A,You'll have to re-import.
557.753,557.853,N/A,Yeah.
557.873,558.113,N/A,OK.
