start_time,end_time,speaker,text
0.284,1.065,N/A,clean it up.
1.345,4.909,N/A,And we could go to a lab too.
5.149,5.65,N/A,A lobby.
5.83,6.851,N/A,We just went and took over.
7.151,20.185,N/A,But that's a place where I was curious about using just trying a different rather than sheets but after playing with it sheets is what I prefer to use than Kodak for that assignment.
21.346,24.469,N/A,But we had also talked about
25.512,32.923,N/A,There's a lab measuring albedo effect and you go around campus and you lay out a thermometer and you do
33.562,44.397,N/A,"an asphalt surface versus, say, a tennis court versus grass versus asphalt in the shade, asphalt in the sun, grass in the shade, grass in the sun."
44.417,45.178,N/A,I'm jumping on that.
45.198,45.719,N/A,I like that.
46.1,46.921,N/A,But I've not done that.
46.941,55.333,N/A,"I teach, I say albedo, but I teach albedo a lot for my year ones and my year twos."
56.094,62.843,N/A,And we even talk about like skin colors and all of that with albedo and like what color shirt you're going to wear.
63.38,64.761,N/A,That's definitely a micro-regulum.
64.841,66.243,N/A,"Yeah, we practiced it."
66.423,70.246,N/A,"Well, we use with mercury thermometers the way that the lab that we do."
70.487,71.528,N/A,"Well, it's not really mercury."
71.548,72.669,N/A,It's the fake red stuff.
73.069,74.911,N/A,"Well, the fake."
74.931,75.031,N/A,Yeah.
75.051,75.551,N/A,The glass ones.
75.611,76.412,N/A,Imitation mercury.
76.432,78.714,N/A,Because you have to put them on a ruler.
78.734,79.575,N/A,So tell me more.
80.296,87.603,N/A,"So you got a ruler, and you put the bottom of the thermometer about one inch, like one inch from the bottom, tape it to the ruler."
88.163,90.766,N/A,And you have to have them stand there for an X amount of time.
90.926,91.286,N/A,I gotcha.
91.306,93.268,N/A,So they read the thermometer before.
93.67,95.072,N/A,And they read the thermometer after.
95.112,99.639,N/A,And then they record the results and see the temperature difference.
99.819,103.404,N/A,"And then they reset the thermometer, essentially, and then they go do a different surface."
103.625,103.865,N/A,Love it.
103.885,106.509,N/A,Do you put it on the ruler so that there's the same amount?
106.589,108.552,N/A,"So it's not touching the surface, so it's a bright above it."
108.572,109.774,N/A,And then there's the same amount?
109.834,113.078,N/A,"Do you get that specific, like, a half an inch above the ground or whatever?"
113.098,113.9,N/A,It's an inch.
113.92,115.262,N/A,"It's like, we do an inch."
115.923,118.046,N/A,"Yeah, the write-up for it says an inch."
118.066,119.027,N/A,So that's what we do.
119.308,121.15,N/A,How do you prop it?
121.491,123.053,N/A,Just tape it to the ruler.
123.961,125.143,N/A,Cause the ruler doesn't matter.
125.183,126.705,N/A,The ruler's only there.
127.026,129.55,N/A,You just literally hold it straight up and down.
129.57,131.473,N/A,"Oh, so you just stand there and wait with it."
131.493,131.673,N/A,Yep.
131.693,134.898,N/A,"It's got a timer, somebody holding the thermometer, somebody collecting the data."
135.219,135.539,N/A,Okay.
135.579,135.8,N/A,Sorry.
135.82,136.341,N/A,I was thinking.
136.421,139.325,N/A,I was kind of thinking they were sitting there.
139.646,144.093,N/A,"Yeah, that's it."
